Fact,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6
Log,Location.gps,,,,,
ScoreBerthingRisk,Location.gps,,,,,
ScoreHazardousTransport,Location.gps,,,,,
Ro,Location.gps,,,,,
Colreg_R01,Location.gps,,,,,
Colreg_R02,Location.gps,,,,,
Colreg_R03,Location.gps,,,,,
Colreg_R04,Location.gps,,,,,
Colreg_R05,Location.gps,,,,,
Colreg_R06,Location.gps,,,,,
Colreg_R07,Location.gps,,,,,
Colreg_R08,Location.gps,,,,,
Colreg_R09,Location.gps,,,,,
Colreg_R10,Location.gps,,,,,
Colreg_R11,Location.gps,,,,,
Colreg_R12,Location.gps,,,,,
Colreg_R13,Location.gps,,,,,
Colreg_R14,Location.gps,,,,,
Colreg_R15,Location.gps,,,,,
Colreg_R16,Location.gps,,,,,
Colreg_R17,Location.gps,,,,,
Colreg_R18,Location.gps,,,,,
Colreg_R19,Location.gps,,,,,
Colreg_R20,Location.gps,,,,,
Colreg_R21,Location.gps,,,,,
Colreg_R22,Location.gps,,,,,
Colreg_R23,Location.gps,,,,,
Colreg_R24,Location.gps,,,,,
Colreg_R25,Location.gps,,,,,
Colreg_R26,Location.gps,,,,,
Colreg_R27,Location.gps,,,,,
Colreg_R28,Location.gps,,,,,
Colreg_R29,Location.gps,,,,,
Colreg_R30,Location.gps,,,,,
Colreg_R31,Location.gps,,,,,
Colreg_R32,Location.gps,,,,,
Colreg_R33,Location.gps,,,,,
Colreg_R34,Location.gps,,,,,
Colreg_R35,Location.gps,,,,,
Colreg_R36,Location.gps,,,,,
Colreg_R37,Location.gps,,,,,
Colreg_R38,Location.gps,,,,,
Colreg_R39,Location.gps,,,,,
Colreg_R40,Location.gps,,,,,
Colreg_R41,Location.gps,,,,,
